Mission,Apollo13,NASA,1970,Crewed lunar landing attempt
Crew,Commander,James Lovell Jr.
Crew,Commander Module Pilot (CMP),Jack Swigert Jr.
Crew,Lunar Module Pilot,Fred Haise Jr.
Spacecraft,Odyssey,Command and Service Module,109
Spacecraft,Aquarius,Lunar Module,7
