Mission,Apollo11,NASA,1969,Crewed lunar landing
Crew,Commander,Neil Armstrong
Crew,Commander Module Pilot (CMP),Michael Collins
Crew,Lunar Module Pilot,Edwin Buzz Aldrin Jr.
Spacecraft,Columbia,Command Module,107
Spacecraft,Eagle,Lunar Module,5
