Mission,Apollo15,NASA,1971,Crewed lunar landing
Crew,Commander,David R. Scott
Crew,Commander Module Pilot (CMP),Alfred M. Worden
Crew,Lunar Module Pilot,James B. Irwin
Spacecraft,Endeavour,Command and Service Module,112
Spacecraft,Falcon,Lunar Module,10
